Sample in Buffer,Sample in Window,TRIGGER,EXP_IBUF[15:0]
355,35,0,ffef
356,36,0,ffef
357,37,0,ffef
358,38,0,ffef
359,39,0,ffef
360,40,0,ffef
361,41,0,ffef
362,42,0,ffef
363,43,0,ffef
364,44,0,ffef
365,45,0,ffef
366,46,0,ffef
367,47,0,ffef
368,48,0,ffef
369,49,0,ffef
370,50,0,ffef
371,51,0,ffef
372,52,0,ffef
373,53,0,ffef
374,54,0,ffef
375,55,0,ffef
376,56,0,ffef
377,57,0,ffef
378,58,0,ffef
379,59,0,ffef
380,60,0,ffef
381,61,0,ffef
382,62,0,ffef
383,63,1,ffef
384,0,0,ffef
385,1,0,ffef
386,2,0,ffef
387,3,0,ffef
388,4,0,ffef
389,5,0,ffef
390,6,0,ffef
391,7,0,ffef
392,8,0,ffef
393,9,0,ffef
394,10,0,ffef
395,11,0,ffef
396,12,0,ffef
397,13,0,ffef
398,14,0,ffef
399,15,0,ffef
400,16,0,ffef
401,17,0,ffef
402,18,0,ffef
403,19,0,ffef
404,20,0,ffef
405,21,0,ffef
406,22,0,ffef
407,23,0,ffef
408,24,0,ffef
409,25,0,ffef
410,26,0,ffef
411,27,0,ffef
412,28,0,ffef
413,29,0,ffef
414,30,0,ffef
415,31,0,ffef
416,32,0,ffef
417,33,0,ffef
418,34,0,ffef
